City_ID,City,Country,Latitude,longitude,Maximum temperature,Percent humidity,Percent cloudiness,Wind Speed,Weather description
0,Mutsu,JP,41.2894,141.2169,61.12,85,100,11.12,overcast clouds
1,Mataura,NZ,-46.1927,168.8643,47.48,98,100,5.75,light rain
2,Aklavik,CA,68.2191,-135.0107,30.92,79,100,6.31,overcast clouds
3,Kruisfontein,ZA,-34.0033,24.7314,48.88,74,37,6.04,scattered clouds
4,Hay River,CA,60.8156,-115.7999,39.31,70,91,14.34,overcast clouds
5,Nikolskoye,RU,59.7035,30.7861,50.4,70,12,8.59,light rain
6,Atuona,PF,-9.8,-139.0333,78.39,76,27,19.48,scattered clouds
7,Ushuaia,AR,-54.8,-68.3,44.22,75,75,23.02,light intensity drizzle
8,Albany,US,42.6001,-73.9662,62.1,87,87,1.01,overcast clouds
9,Cap Malheureux,MU,-19.9842,57.6142,71.47,92,98,5.01,light rain
10,Srednekolymsk,RU,67.45,153.6833,19.76,76,29,2.91,scattered clouds
11,Punta Arenas,CL,-53.15,-70.9167,48.11,45,34,25.34,scattered clouds
12,Faanui,PF,-16.4833,-151.75,79.79,74,44,12.84,scattered clouds
13,Kabalo,CD,-6.05,26.9167,74.26,78,100,3.65,overcast clouds
14,Severo-Kurilsk,RU,50.6789,156.125,50.81,94,100,18.14,moderate rain
15,Hithadhoo,MV,-0.6,73.0833,82.72,68,99,15.14,overcast clouds
16,Hilo,US,19.7297,-155.09,81.39,79,75,10.36,moderate rain
17,Vaini,TO,-21.2,-175.2,77.16,83,75,9.22,broken clouds
18,Komsomolskiy,UZ,40.4272,71.7189,42.22,75,13,2.3,few clouds
19,Ilulissat,GL,69.2167,-51.1,32.02,86,75,0.0,broken clouds
20,Bredasdorp,ZA,-34.5322,20.0403,57.27,78,85,3.29,overcast clouds
21,Chokurdakh,RU,70.6333,147.9167,19.63,88,100,6.06,overcast clouds
22,Nileshwar,IN,12.25,75.1,77.54,90,35,5.35,scattered clouds
23,La Rioja,ES,42.25,-2.5,47.48,94,100,3.51,overcast clouds
24,Hastings,GB,50.8552,0.5729,53.78,98,55,11.36,broken clouds
25,Cape Town,ZA,-33.9258,18.4232,64.11,53,98,4.56,overcast clouds
26,Mandalgovi,MN,45.7625,106.2708,35.6,37,3,8.25,clear sky
27,Marshall,US,34.3834,-86.3333,75.61,73,1,1.01,clear sky
28,Yellowknife,CA,62.456,-114.3525,36.41,100,100,4.0,light rain
29,Kapaa,US,22.0752,-159.319,84.18,71,20,5.01,light rain
30,Carnarvon,AU,-24.8667,113.6333,68.07,68,0,18.41,clear sky
31,Haines Junction,CA,60.7522,-137.5108,39.25,59,20,2.26,few clouds
32,Norman Wells,CA,65.282,-126.8329,31.03,87,96,6.98,overcast clouds
33,Roma,US,43.2128,-75.4557,67.84,80,90,10.36,overcast clouds
34,Esperance,AU,-33.8667,121.9,63.19,41,100,23.31,overcast clouds
35,Songkhla,TH,6.8333,100.6667,77.05,88,26,3.65,scattered clouds
36,Saint George,US,37.1041,-113.5841,74.62,27,1,4.0,clear sky
37,Husavik,IS,66.0449,-17.3389,34.93,96,100,2.57,light rain
38,Nome,US,64.5011,-165.4064,41.16,69,1,4.61,clear sky
39,Vestmannaeyjar,IS,63.4427,-20.2734,42.57,72,39,12.08,scattered clouds
40,Genhe,CN,50.7833,121.5167,36.39,79,1,3.02,clear sky
41,Arraial Do Cabo,BR,-22.9661,-42.0278,67.73,85,100,21.79,light rain
42,East London,ZA,-33.0153,27.9116,59.4,68,13,18.57,few clouds
43,Hobart,AU,-42.8794,147.3294,54.27,48,20,1.99,few clouds
44,Tuktoyaktuk,CA,69.4541,-133.0374,30.0,76,98,5.66,overcast clouds
45,Port Alfred,ZA,-33.5906,26.891,58.3,74,23,20.71,few clouds
